ZUORACRMID,SFAccountId,CompanyName,Product,ProductType,RatePlanName,ZuoraPurchaseStatus,Subscription,AmendmentType,TCV,ServiceActivationDate,ServiceStartDate,ServiceEndDate,SKU,ZuoraLocationId,ZuoraCategory,ZuoraCategoryId,ZuoraMarket,ZuoraMarketCode,PartnersMarketCode,ProfileLocationExistsInPartners,StorefrontID,DisplayId,StorefrontName,StorefrontStatus,ClaimedStatus,StorefrontLocationId,SalesCategory,SalesMarketCode,SalesMarket,StartDate,EndDate,SalesProfileStatusCode,PurchaseStatus,LastIntegratedSubscription,LastIntegratedSku,CRMAccountIDMatch,IntegrationState,OriginalIntegrationState,FulfillmentLogCount,ExclusionReason
001j000000h4qD1AAI,FA8468D7-5DEF-E411-9075-005056881833,Chateau La Mer,Storefront,SERVICE,Storefront | NY-Long Island | Reception Venues,PAID,A-S00229650,,2338.92,5/14/2019,5/14/2019,5/14/2020,SKU-00000092,cb277bca-fb4d-4631-877a-5d0d48dbd1a8,Reception Venues,1572f50a-93b6-40ea-9492-d8cec37f0c44,NY-Long Island,182,182,FALSE,00022f8a-e9c0-45f0-8c88-a48a01082442,872900,Chateau La Mer,LIVE,CLAIMED,cb277bca-fb4d-4631-877a-5d0d48dbd1a8,Reception Venues,182,Long Island,5/14/2016,4/30/2020,REMOVED,FREEMIUM,,,MATCHED,DIFFERENT,DIFFERENT,1,
001f1000019adlgAAA,D05213C2-65E2-4B39-8B63-30EBA65AF167,Cortese Photography & Film,Storefront,SERVICE,Storefront | VA-Virginia | Wedding Photographers,PAID,A-S00224360,,2722.5,4/25/2019,4/25/2019,4/25/2021,SKU-00000092,d05213c2-65e2-4b39-8b63-30eba65af167,Wedding Photographers,a520ad92-ff3f-4869-a382-92c87a5d809e,VA-Virginia,192,192,FALSE,9cf1feaf-d70d-4982-9b57-a73d007b0096,1037870,Cortese Photography & Film,LIVE,CLAIMED,d05213c2-65e2-4b39-8b63-30eba65af167,Wedding Photographers,192,"Richmond, Charlottesville, Roanoke",4/25/2017,4/25/2020,LIVE,FREEMIUM,A-S00224360,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
0013a00001ZxyNQAAZ,0DC8E420-E592-4339-9202-4CF889BC6132,Crowd Tech Group,Storefront,SERVICE,Storefront | CA-San Diego | DJs,PAID,A-S00227085,NewProduct,2951.2,4/18/2019,4/30/2019,4/18/2021,SKU-00000092,0dc8e420-e592-4339-9202-4cf889bc6132,DJs,37ffe21a-579f-4100-88c1-ca664f5398ce,CA-San Diego,205,50,FALSE,9bf3595f-7dda-484e-b30b-a4a080aa7921,2025718,CrowdDJ by Crowd Tech Group,LIVE,CLAIMED,0dc8e420-e592-4339-9202-4cf889bc6132,DJs,50,"San Diego, La Jolla, Coronado, Carlsbad",4/30/2019,4/18/2020,LIVE,FREEMIUM,A-S00227085,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4q1XAAQ,F2FF6652-B5DA-E111-8BEC-78E3B50834E7,Debra's Bridal Shop at the Avenues,Bridal Salon Referral Program-Gown - Storefront,SERVICE,Bridal Salon Referral Program-Gown - Storefront | FL-Northern | Bridal Salons,PAID,A-S00224196,,2760,4/23/2019,4/23/2019,4/23/2021,SKU-00000025,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,cc838748-ddbb-463f-b6ea-e08c83d0972c,FL-Northern,109,109,FALSE,4a209b83-b54c-4264-b2bc-a47500ef9df4,870885,Debra's Bridal Shop at the Avenues,LIVE,CLAIMED,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,109,"Jacksonville, Brunswick",4/23/2016,4/23/2020,LIVE,FREEMIUM,A-S00224196,SKU-00000025,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4q1XAAQ,F2FF6652-B5DA-E111-8BEC-78E3B50834E7,Debra's Bridal Shop at the Avenues,Storefront,SERVICE,Storefront | FL-Central | Bridal Salons,PAID,A-S00224196,,1458.4,4/23/2019,4/23/2019,4/23/2021,SKU-00000092,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,cc838748-ddbb-463f-b6ea-e08c83d0972c,FL-Central,53,53,FALSE,4a209b83-b54c-4264-b2bc-a47500ef9df4,870885,Debra's Bridal Shop at the Avenues,LIVE,CLAIMED,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,53,"Orlando, Daytona Beach",12/21/2018,4/23/2020,LIVE,FREEMIUM,A-S00224196,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4q1XAAQ,F2FF6652-B5DA-E111-8BEC-78E3B50834E7,Debra's Bridal Shop at the Avenues,Storefront,SERVICE,Storefront | GA-Savannah/Coastal Area | Bridal Salons,PAID,A-S00224196,,943.67,4/23/2019,4/23/2019,4/23/2021,SKU-00000092,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,cc838748-ddbb-463f-b6ea-e08c83d0972c,GA-Savannah/Coastal Area,269,269,FALSE,4a209b83-b54c-4264-b2bc-a47500ef9df4,870885,Debra's Bridal Shop at the Avenues,LIVE,CLAIMED,f2ff6652-b5da-e111-8bec-78e3b50834e7,Bridal Salons,269,Savannah,12/21/2018,4/23/2020,LIVE,FREEMIUM,A-S00224196,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4kgmAAA,2371B82E-D4D3-E411-9075-005056881833,Fernstone Retreat and Ohiopyle Rentals,Storefront,SERVICE,Storefront | PA-Pittsburgh | Shower+Party Venues,PAID,A-S00223475,,1512,4/19/2019,4/19/2019,4/19/2021,SKU-00000092,2371b82e-d4d3-e411-9075-005056881833,Shower+Party Venues,ca8f12c7-dc25-4e88-a403-590db8469230,PA-Pittsburgh,117,117,FALSE,92946336-f742-493f-b370-a5f50186d877,975190,Fernstone Retreat,LIVE,CLAIMED,2371b82e-d4d3-e411-9075-005056881833,"Rehearsal Dinners, Bridal Showers + Parties",117,"Pittsburgh, Wheeling",4/19/2016,4/19/2020,LIVE,FREEMIUM,A-S00223475,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4kgmAAA,2371B82E-D4D3-E411-9075-005056881833,Fernstone Retreat and Ohiopyle Rentals,Storefront,SERVICE,Storefront | PA-Pittsburgh | Reception Venues,PAID,A-S00223475,,5544.08,4/19/2019,4/19/2019,4/19/2021,SKU-00000092,2371b82e-d4d3-e411-9075-005056881833,Reception Venues,1572f50a-93b6-40ea-9492-d8cec37f0c44,PA-Pittsburgh,117,117,FALSE,9dc38baa-eac0-4534-83b8-a46700ce9fed,869533,Fernstone Retreat,LIVE,CLAIMED,2371b82e-d4d3-e411-9075-005056881833,Reception Venues,117,"Pittsburgh, Wheeling",4/9/2015,4/19/2020,LIVE,FREEMIUM,A-S00223475,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h6TprAAE,E68BC3C6-D4C7-E511-93DC-00505688082E,Jeri Solomon Floral Design,Storefront,SERVICE,Storefront | MA-Boston | Florists,PAID,A-S00230221,,2219.81,6/5/2019,6/5/2019,6/5/2020,SKU-00000092,a76e7f13-0964-407c-bad1-43a96ba00f08,Florists,dd6dc992-8647-4bba-a17e-feaa684d03b0,MA-Boston,61,61,FALSE,8d023bcd-ae86-4b35-b2e4-be67c0a2fbf0,150245,Jeri Solomon Floral Design,LIVE,CLAIMED,a76e7f13-0964-407c-bad1-43a96ba00f08,Florists,61,"Boston, Watertown, Waltham",6/5/2016,6/5/2020,REMOVED,PAID,A-S00230221,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
001j000000h4mblAAA,6B84C44B-1FDC-E111-8CC6-78E3B5102E43,Kim Starr Wise Special Events,Storefront,SERVICE,Storefront | LA-New Orleans | Florists,PAID,A-S00224237,,2400,4/24/2019,4/24/2019,4/24/2021,SKU-00000092,6b84c44b-1fdc-e111-8cc6-78e3b5102e43,Florists,dd6dc992-8647-4bba-a17e-feaa684d03b0,LA-New Orleans,196,29,FALSE,bb5b876b-ba23-4226-8259-93c4674782e6,377387,Kim Starr Wise Floral Events,LIVE,CLAIMED,6b84c44b-1fdc-e111-8cc6-78e3b5102e43,Florists,29,"New Orleans, Baton Rouge, Lafayette",4/24/2016,4/24/2020,LIVE,FREEMIUM,A-S00224237,SKU-00000092,MATCHED,DIFFERENT,DIFFERENT,1,
