Account Owner,WW Vendor Id,Account Name,TKWW Paid Classification,TK Listing Visibility,WW Listing Visibility,Closest Product End Date,URL,LocationID,TK Company ID,AccountID
Kimberley Feys,586197,Herreshoff Marine Museum,2,Paid,Paid,12/10/2019,https://my.matterport.com/show/?m=bYxhM9YHv4C&brand=0,1111251c-6ba6-4e9b-bb19-e21dcbe6eb36,1111251c-6ba6-4e9b-bb19-e21dcbe6eb36,8f553b43-a38d-44e0-9d8d-a3ee00aa5811
Alessandra Hagerty,992921,Headwaters Ranch,2,Paid,Paid,12/10/2019,https://my.matterport.com/show/?m=rzCkHp741EU&brand=0,3ba3b3f5-dc16-40e4-98c0-09b384371d35,3ba3b3f5-dc16-40e4-98c0-09b384371d35,2b48a99d-7f72-479e-afd6-a78500f95b36
Stephanie Mullan,722187,The Felt Mansion,2,Paid,Paid,12/10/2019,https://my.matterport.com/show/?m=YjwrzPiAXQN&brand=0,827ffc2a-6417-486a-ad8b-3d420951a360,827ffc2a-6417-486a-ad8b-3d420951a360,0452c2bf-e288-4a56-ae49-3b3255451037
Stephanie Alderman,15982,The Sam Houston Hotel,2,Paid,Paid,12/10/2019,https://my.matterport.com/show/?m=Ef88wfQvp6f&brand=0,8383cb4e-f4a3-46e4-9c9d-455aade3e520,45c83560-8afa-491c-ba86-9d781364befb,cd616279-5c73-44da-8ef3-a6d3010811fb
Sara Burroughs,36869,Turf Valley Resort,2,Paid,Paid,12/10/2019,https://my.matterport.com/show/?m=AVm5Dg5W9ec&brand=0,e4e5b98a-a9da-e111-8bec-78e3b50834e7,e4e5b98a-a9da-e111-8bec-78e3b50834e7,6c1b6a3c-4455-4fe3-9ab0-a4c5017cb4eb
Rhonda Haberkamp,137424,Crowne Plaza Northstar - Downtown Minneapolis,2,Paid,Paid,12/11/2019,https://my.matterport.com/show/?m=8W9Xx3nff75&brand=0,a08b77de-e4da-e111-8bec-78e3b50834e7,a08b77de-e4da-e111-8bec-78e3b50834e7,843ce3d3-f96f-4a70-b6d3-226cf597c51a
Mindi Middleton,1038947,Summit Hill Gardens,2,Paid,Paid,12/11/2019,https://my.matterport.com/show/?m=qm8kBHk6L98&brand=0,a66e7407-ceb4-4ba2-87a9-89ce080c68d7,a66e7407-ceb4-4ba2-87a9-89ce080c68d7,85128187-a77e-4619-9392-bbf73836abe3
Melina Klinger Walzer,714369,Bowing Oaks Plantation,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=HodDk2AtRMX&brand=0,17e212f5-8032-4eb9-8a27-86202ab976f3,17e212f5-8032-4eb9-8a27-86202ab976f3,528f47a5-a653-4fd6-8102-d973b132900d
David Quatresols,76509,Signature Manor,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=CdNHPgeYH66&brand=0,19468a26-79db-e111-8bec-78e3b50834e7,19468a26-79db-e111-8bec-78e3b50834e7,c8c8b6aa-d56f-400e-9581-64cdc92b3191
Kristyn Staneski,120810,Della Terra Mountain Chateau,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=KZ3JT9qC4cG&brand=0,24acebe8-0ddc-e111-8bec-78e3b50834e7,24acebe8-0ddc-e111-8bec-78e3b50834e7,c9e0f6a8-946c-4ba7-9b80-8e5590cbf261
Kristyn Staneski,13412,Wellshire Event Center,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=sxPQtbrUsLT&brand=0,9103b29b-bbb7-e411-9075-005056881833,9103b29b-bbb7-e411-9075-005056881833,8b3cbbe6-48d3-483e-9408-a443010be6d0
Mindi Middleton,1057477,Riverside Casino & Golf Resort,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=5bRuW59Yqn4&brand=0,b0b6a3c3-e0ef-4c9b-8c93-d9be5cf80e78,b0b6a3c3-e0ef-4c9b-8c93-d9be5cf80e78,222ccdd8-fe80-4be1-aef1-a62f009806a8
Kristyn Staneski,383675,Spruce Mountain Ranch,2,Paid,Paid,12/12/2019,https://my.matterport.com/show/?m=bBcFcZZN6xc&brand=0,ec654272-34ae-e411-8c67-0050568849ea,ec654272-34ae-e411-8c67-0050568849ea,d441aa56-289c-4c2d-9393-a2bb0123c30d
Karrie Ploss,26850,RSVP Event Center by Village Catering,2,Paid,Paid,12/13/2019,https://my.matterport.com/show/?m=WeVcJsxa2VX&brand=0,0db2ca1d-9ada-e111-8bec-78e3b50834e7,0db2ca1d-9ada-e111-8bec-78e3b50834e7,f828cfca-e981-4d0d-b8c3-829f69bb9dbd
Megan Guffey,699159,Paddock Place,2,Paid,Paid,12/13/2019,https://my.matterport.com/show/?m=4XjgmSWauqi&brand=0,4ca8f1e7-2e65-4d7a-a823-e22c6631312b,fbe5f102-ecda-e111-8bec-78e3b50834e7,5fcfa224-4ac5-47bc-9941-ded6ce03675d
Rhonda Haberkamp,575871,A'BULAE,2,Paid,Paid,12/13/2019,https://my.matterport.com/show/?m=UMHUCf6Nsmo&brand=0,777b8de2-dc18-4209-8a17-d4101d82829f,d7c02873-d533-e411-9c4e-0050568849ea,f0710229-e57e-4980-823c-a39b0156ca98
Laura Napolitano,993697,The River View,2,Paid,Paid,12/13/2019,https://my.matterport.com/show/?m=bfoqa2fmakQ&brand=0,8674de83-3a0c-417a-b981-3218957a2640,f3d2689e-6cdb-e111-8bec-78e3b50834e7,e47e5267-b82b-45f2-bd28-be69fea2a7cc
Melina Klinger Walzer,24710,Hilton Harrisburg,2,Paid,Paid,12/13/2019,https://my.matterport.com/show/?m=jwCC9ULHDbY&brand=0,d9150504-6d69-4629-8176-4d0457f9ea39,d9150504-6d69-4629-8176-4d0457f9ea39,029c6d49-93cd-40d4-9741-a5b500fab29c
Keri Bourdelaise,902963,"In The Woods, LLC",2,Paid,Paid,12/14/2019,https://my.matterport.com/show/?m=BE7TmRCWC6f&brand=0,66a4b7fa-f0ea-47d3-847f-ffd64e7cf737,66a4b7fa-f0ea-47d3-847f-ffd64e7cf737,97e19d98-f4f5-416e-afc5-a55b010a968b
Jessica Smith,2169,Payne-Corley House,2,Paid,Paid,12/14/2019,https://my.matterport.com/show/?m=xsFUtdmXP5c&brand=0,7601cfe3-70db-e111-8bec-78e3b50834e7,7601cfe3-70db-e111-8bec-78e3b50834e7,4f5d626d-d9c6-4723-8530-21e994df3727
