CrmId,Account,Subscription,SubscriptionStartDate,SubscriptionEndDate,ExtendedSubscriptionEndDate,SKU,Product,RatePlan,LocationID,MarketCode,CategoryCode
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00237776,8/1/2019,5/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TX-Austin | Bridal Salons,1a138a58-f0f1-4327-a05c-d8679fb57448,191,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00237776,8/1/2019,5/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TX-Austin | Bridal Salons,1a138a58-f0f1-4327-a05c-d8679fb57448,191,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00237652,8/1/2019,5/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | FL-Northern | Bridal Salons,1e117e17-cd99-4113-8aac-e179a737df00,109,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00237652,8/1/2019,5/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | FL-Northern | Bridal Salons,1e117e17-cd99-4113-8aac-e179a737df00,109,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | MN-Minnesota | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,4,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | MO-Kansas City | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,5,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TX-Dallas | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,6,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | WA-Washington | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,10,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Fran/Bay Area | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,12,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,17,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | GA-Georgia | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,19,BWP
