Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00198039,2020-12-02,SKU-00000034,Featured Vendor,Featured Vendor | MO-Kansas City | Wedding Photographers,C-01504029,A59FE4E4-2A8E-E511-B212-005056881833,005,WPH
A-S00198039,2020-12-02,SKU-00000092,Storefront,Storefront | MO-Kansas City | Wedding Photographers,C-01504028,A59FE4E4-2A8E-E511-B212-005056881833,005,WPH
A-S00198498,2020-12-31,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MI-Detroit | Caterers,C-01519084,03F7C459-F34D-45D0-ACFA-064543499F54,044,CAT
A-S00198498,2020-12-31,SKU-00000092,Storefront,Storefront | MI-Detroit | Caterers,C-01505555,03F7C459-F34D-45D0-ACFA-064543499F54,044,CAT
A-S00199591,2020-12-18,SKU-00000034,Featured Vendor,Featured Vendor | PA-Pittsburgh | Wedding Planners,C-01507882,0DE57984-2D03-41A0-8C90-6E26CDD8A613,117,PLN
A-S00200046,2020-12-15,SKU-00000034,Featured Vendor,Featured Vendor | NJ-North/Central | DJs,C-01508875,C0070708-B066-4F55-85B5-77B07D8DFB85,073,DJS
A-S00200046,2020-12-15,SKU-00000092,Storefront,Storefront | NJ-North/Central | DJs,C-01508874,C0070708-B066-4F55-85B5-77B07D8DFB85,073,DJS
A-S00200098,2020-12-01,SKU-00000092,Storefront,Storefront | RI-Rhode Island | Florists,C-01508987,2B0EC7A3-0BBC-44D3-8732-3C24B78F8250,185,FLO
A-S00200099,2020-12-04,SKU-00000092,Storefront,Storefront | ID-Idaho | Florists,C-01508988,BB8FF115-2552-E311-9CA4-0050568849EA,230,FLO
A-S00200099,2020-12-04,SKU-00000092,Storefront,Storefront | WY-Wyoming | Florists,C-01508989,BB8FF115-2552-E311-9CA4-0050568849EA,235,FLO
A-S00200101,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | NY-Wstrn/Cent/Upstate | Reception Venues,C-01508992,7A6497B7-998F-E511-9E20-0050568849EA,189,REC
A-S00200101,2020-12-04,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | Reception Venues,C-01508991,7A6497B7-998F-E511-9E20-0050568849EA,189,REC
A-S00200102,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | Wedding Photographers,C-01508993,3DFB2E49-C39F-E511-995E-0050568849EA,050,WPH
A-S00200102,2020-12-04,SKU-00000092,Storefront,Storefront | CA-San Diego | Wedding Photographers,C-01508994,3DFB2E49-C39F-E511-995E-0050568849EA,050,WPH
A-S00200102,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | CA-Orange County | Wedding Photographers,C-01508996,9B5B7D51-C9E9-4111-8638-3AA70B3D6501,042,WPH
A-S00200102,2020-12-04,SKU-00000092,Storefront,Storefront | CA-Orange County | Wedding Photographers,C-01508995,9B5B7D51-C9E9-4111-8638-3AA70B3D6501,042,WPH
A-S00200104,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Caterers,C-01540131,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,209,CAT
A-S00200104,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Reception Venues,C-01508999,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,209,REC
A-S00200104,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Caterers,C-01540133,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,021,CAT
A-S00200104,2020-12-04,SKU-00000092,Storefront,Storefront | NJ-South | Caterers,C-01540130,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,209,CAT
A-S00200104,2020-12-04,SKU-00000092,Storefront,Storefront | NJ-South | Reception Venues,C-01509000,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,209,REC
A-S00200104,2020-12-04,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Caterers,C-01540132,C4B9DE16-2CDC-E111-8CC6-78E3B5102E43,021,CAT
A-S00200106,2020-12-04,SKU-00000034,Featured Vendor,Featured Vendor | AL-Alabama | Wedding Photographers,C-01509007,05E29DEE-E963-489B-B330-EE88412A4031,203,WPH
A-S00200106,2020-12-04,SKU-00000092,Storefront,Storefront | AL-Alabama | Wedding Photographers,C-01509006,05E29DEE-E963-489B-B330-EE88412A4031,203,WPH
A-S00200107,2020-12-01,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | DJs,C-01509008,2091C9CC-FBE2-40D5-B87D-16AA9674185E,189,DJS
A-S00200110,2020-12-07,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Decor,C-01509020,4AC970EA-C170-4D68-AF2E-B0E5A0316F37,045,DEC
A-S00200110,2020-12-07,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Lighting,C-01509018,4AC970EA-C170-4D68-AF2E-B0E5A0316F37,045,LIT
A-S00200110,2020-12-07,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Decor,C-01509016,4AC970EA-C170-4D68-AF2E-B0E5A0316F37,179,DEC
